request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,100 minimum protected."
request_29,29284.63,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 29,284.63 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,5223187.69,affordable_later,wait,2024-10-15:18164000.0,2024-10-15,none,"Pay IDR 18,164,000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,16617.42,affordable_later,wait,2025-03-15:40018.0,2025-03-15,none,"Pay ZAR 40,018 in full on 2025-03-15. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,38880.67,affordable_later,wait,2026-03-15:118000.0,2026-03-15,none,"Pay INR 118,000 in full on 2026-03-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,53238.22,affordable_later,wait,2025-12-15:212000.0,2025-12-15,none,"Pay INR 212,000 in full on 2025-12-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,921.23,affordable_later,wait,2026-09-15:3954.0,2026-09-15,none,"Pay USD 3,954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,225.42,affordable_later,wait,2025-08-31:971.3,2025-08-31,none,Pay EUR 971.30 in full on 2025-08-31. Paying earlier would take the balance below the EUR 400 minimum.
request_39,71777.5,affordable_later,wait,2026-05-15:208600.0,2026-05-15,none,"Pay INR 208,600 in full on 2026-05-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,540.0,affordable_later,wait,2024-07-15:1290.3,2024-07-15,none,"Pay EUR 1,290.30 in full on 2024-07-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_41,11828744.43,affordable_later,wait,2026-01-15:38760000.0,2026-01-15,none,"Pay IDR 38,760,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the INR 113,100 minimum protected."
request_43,9868266.98,affordable_later,wait,2024-10-15:43339000.0,2024-10-15,none,"Pay IDR 43,339,000 in full on 2024-10-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,35505.44,affordable_later,wait,2025-04-15:95800.0,2025-04-15,none,"Pay INR 95,800 in full on 2025-04-15. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,4429821.16,affordable_later,wait,2026-09-15:21983000.0,2026-09-15,none,"Pay IDR 21,983,000 in full on 2026-09-15. Paying earlier would take the balance below the IDR 11,149,800 minimum."
